author_id;id;text;edit_history_tweet_ids;created_at;lang
1709491373974695936;1711385585611379174;@RitaOra @TheVoiceAU There is no Goddess like the Sagittarian Goddess. 👠👠💪💪💪🥰🏋️‍♀️🏹🩷🩷🩷 https://t.co/ooOjxl4cDJ;['1711385585611379174'];2023-10-09 14:18:14;en
1506830533636018181;1711354199412260994;"@RitaOra @Beyonce  @DUALIPA Wowzerz &lt;&lt;HAVA HAPY THNX-KIEVING TURKEY DAY&gt;&gt; ""HAVE A NICE WEEKND"" CANADIAN STYLES @BebeRexha @rihanna  @elizadushku And I quote. THIS IS REAL LIFE🦃";['1711354199412260994'];2023-10-09 12:13:31;en
1688481989530464256;1711345480784072880;@RitaOra hi rita can you please sand me a dress i'm size 14 kids and my adress is 8 stashion street condoblin nsw and welldone on your alburm RITA;['1711345480784072880'];2023-10-09 11:38:52;en
1688481989530464256;1711340534017744978;@RitaOra hi guys i'm going logeout but i may talk to you guys again love you rita ora and can you please send me a dress adress is 8 stashion street condoblin nsw and size is 14 if you do get to send me a dress no one copy this adree asept rita ora😪😪😪😪😪😪😪😪😥😥;['1711340534017744978'];2023-10-09 11:19:13;en
1365361379113320455;1711325608024699003;@RitaOra @TheVoiceAU Play Garry’s mod;['1711325608024699003'];2023-10-09 10:19:54;en
1182835615;1711308136961765654;@RitaOra Your fella hs baby teeth   just saying 😊;['1711308136961765654'];2023-10-09 09:10:29;en
1688481989530464256;1711289181622931819;@RitaOra @TheVoiceAU can i have your dress please RITA;['1711289181622931819'];2023-10-09 07:55:09;en
1688481989530464256;1711288887266754836;@RitaOra @TheVoiceAU welldone and i love you so much as a fan;['1711288887266754836'];2023-10-09 07:53:59;en
1656956356841345026;1711279001225007204;@RitaOra @RO1963445752148 Hi, Rita! Luv your song and your performance @The Voice Australia ❤️💙 your no. 1fan here from the Philippines! 🇵🇭;['1711279001225007204'];2023-10-09 07:14:42;en
2902498941;1711207108266344919;"@RitaOra @TheVoiceAU F**kin’ell @RitaOra!

First, u didn’t isolate then illegally partied, basically committing manslaughter to those who died from Covid when everyone was in lockdown. 

Now, you’re saying a big F U to the thousands of Palestinian people who have been m*rdered! 

THINK! https://t.co/4IJueh0eZi";['1711207108266344919'];2023-10-09 02:29:01;en
399727090;1711206200468209789;@RitaOra Hi, just watching the repeat of The Voice and my God you are one beautiful woman 🙏❤️;['1711206200468209789'];2023-10-09 02:25:25;en
1607195893635186688;1711148927322374401;@RitaOra Hi Rita I’m big fan your music;['1711148927322374401'];2023-10-08 22:37:50;en
1259599660810977287;1711118082423361842;@RitaOra @TheVoiceAU Another win for our queen ❤️;['1711118082423361842'];2023-10-08 20:35:16;en
1259599660810977287;1711117969416184179;@RitaOra @TheVoiceAU #TeamRita is always winning;['1711117969416184179'];2023-10-08 20:34:49;en
1360166259556569091;1711093705841508791;@RitaOra @TheVoiceAU So deserved 🤍🤍🤍;['1711093705841508791'];2023-10-08 18:58:24;en
1360166259556569091;1711093687944376478;@RitaOra @TheVoiceAU QUEEN;['1711093687944376478'];2023-10-08 18:58:20;en
1360166259556569091;1711093674866594201;@RitaOra @TheVoiceAU I’m so proud 😭😭🤍;['1711093674866594201'];2023-10-08 18:58:17;en
867107008595587072;1711075540206075999;@RitaOra sit yo zionist ass down girl and learn your history!!!? https://t.co/2ZMExS1Jzd;['1711075540206075999'];2023-10-08 17:46:13;en
1592883712072749057;1711035251898933471;@RitaOra @TheVoiceAU Proud of You Rita 🥰🥰🥰;['1711035251898933471'];2023-10-08 15:06:08;en
1584197005106102283;1711022999539704211;@RitaOra @TheVoiceAU Your amazing;['1711022999539704211'];2023-10-08 14:17:27;en
1398309737033261064;1711012821884944468;@RitaOra @TheVoiceAU Congratulations!!;['1711012821884944468'];2023-10-08 13:37:00;en
2492722891;1711010506507784373;@RitaOra @TheVoiceAU YIKESSS 🤮🤮🤮🤮 THE VOICE FEATURED SOMEONE WHO SUPPORT A ZIONIST? RITA SUCKS JUST LIKE HER MUSIC;['1711010506507784373'];2023-10-08 13:27:48;en
1707223398428868608;1710998463775740172;@RitaOra @TheVoiceAU you know where to go 掠 https://t.co/0LwXV7jfxj;['1710998463775740172'];2023-10-08 12:39:57;en
74929669;1710996677002215490;@RitaOra NO!  Thank YOU!!  My new favorite artist!;['1710996677002215490'];2023-10-08 12:32:51;en
