dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_followers,twitter_followers
3/1/2018,24.00374929,0,224,0,0,0,1372
3/2/2018,24.00374929,0,224,0,0,0,1373
3/3/2018,24.00374929,0,225,0,0,0,1373
3/4/2018,24.06991322,0,225,0,0,0,1375
3/5/2018,24.06991322,0,226,0,0,0,1377
3/6/2018,24.06991322,0,226,0,0,0,1378
3/7/2018,24.06991322,0,226,0,0,0,1377
3/8/2018,24.06991322,0,226,0,0,0,1376
3/9/2018,24.06991322,0,227,0,0,0,1375
3/10/2018,24.06991322,0,227,0,0,0,1370
3/11/2018,24.06991322,0,228,0,0,0,1372
3/12/2018,24.06991322,0,228,0,0,0,1372
3/13/2018,24.06991322,0,229,0,0,0,1373
3/14/2018,24.06991322,0,230,0,0,0,1373
3/15/2018,24.06991322,0,231,0,0,0,1372
3/16/2018,24.06991322,0,231,0,0,0,1372
3/17/2018,24.06991322,0,232,0,0,0,1372
3/18/2018,24.06991322,0,233,0,0,0,1372
3/19/2018,24.06991322,0,234,0,0,0,1372
3/20/2018,24.06991322,0,235,0,0,0,1372
3/21/2018,24.06991322,0,235,0,0,0,1372
3/22/2018,24.06991322,0,236,0,0,0,1372
3/23/2018,24.06991322,0,237,0,0,0,1372
3/24/2018,24.06991322,0,238,0,0,0,1372
3/25/2018,24.06991322,0,239,0,0,0,1371
3/26/2018,24.06991322,0,239,0,0,0,1371
3/27/2018,24.06991322,0,240,0,0,0,1371
3/28/2018,24.06991322,0,240,0,0,0,1371
3/29/2018,24.06991322,0,241,0,0,0,1370
3/30/2018,24.84178273,0,241,0,0,0,1371
3/31/2018,25.26761605,0,242,0,0,0,1370
4/1/2018,24.31555373,0,242,0,0,0,1370
4/2/2018,24.00097071,0,243,0,0,0,1370
4/3/2018,24.00097071,0,243,0,0,0,1369
4/4/2018,24.00097071,0,244,0,0,0,1371
4/5/2018,24.00097071,0,244,0,0,0,1371
4/6/2018,24.00097071,0,245,0,0,0,1372
4/7/2018,24.00097071,0,245,0,0,0,1374
4/8/2018,24.00097071,1976,246,0,0,0,1373
4/9/2018,24.00097071,8066,246,0,0,0,1374
4/10/2018,24.00097071,14156,246,0,0,0,1374
4/11/2018,24.00097071,20246,246,0,0,0,1373
4/12/2018,24.00097071,26336,246,0,0,0,1373
4/13/2018,24.00097071,32426,246,0,0,0,1374
4/14/2018,24.00097071,38516,246,0,0,0,1372
4/15/2018,24.00097071,44606,246,0,0,0,1372
4/16/2018,24.00097071,46952,247,0,0,0,1373
4/17/2018,24.00097071,49297,249,0,0,0,1374
4/18/2018,24.00097071,51643,250,0,0,0,1373
4/19/2018,24.00097071,53989,251,0,0,0,1420
4/20/2018,24.00097071,56335,252,0,0,0,2169
4/21/2018,24.00097071,58680,254,0,0,0,2168
4/22/2018,24.00097071,61026,255,0,0,0,2168
4/23/2018,24.00097071,61271,256,0,0,0,4768
4/24/2018,24.00097071,61517,257,0,0,0,4479
4/25/2018,24.00097071,61762,258,0,0,0,1793
4/26/2018,24.00097071,62007,258,0,0,0,11010
4/27/2018,24.00097071,62252,259,0,0,0,8971
4/28/2018,24.00097071,62498,260,0,0,0,3919
4/29/2018,24.00097071,62743,261,0,0,0,3824
4/30/2018,24.04052451,62858,262,0,0,0,3872
5/1/2018,19.84239258,62972,263,0,0,0,2678
5/2/2018,19.81924657,63087,264,0,0,0,2488
5/3/2018,19.81924657,63201,265,0,0,0,2469
5/4/2018,19.81924657,63316,266,0,0,0,2469
5/5/2018,19.81924657,63430,267,0,0,0,1912
5/6/2018,19.88227244,63545,268,0,0,0,1623
5/7/2018,19.88227244,60033,270,0,0,0,1623
5/8/2018,19.88227244,56522,272,0,0,0,1623
5/9/2018,19.88227244,53010,274,0,0,0,3839
5/10/2018,19.88227244,49498,277,0,0,0,3721
5/11/2018,19.88227244,45986,279,0,0,0,3875
5/12/2018,19.88227244,42475,281,0,0,0,2045
5/13/2018,19.88227244,38963,283,0,0,0,1995
5/14/2018,19.88227244,33030,284,0,0,0,2869
5/15/2018,19.88227244,27098,285,0,0,0,2562
5/16/2018,19.88227244,21165,286,0,0,0,2356
5/17/2018,19.88227244,15233,287,0,0,0,2301
5/18/2018,19.88227244,9300,288,20,2015,9174,2299
5/19/2018,19.88227244,9238,290,22,2055,9141,2230
5/20/2018,19.88227244,9175,291,22,2075,9118,3123
5/21/2018,19.88227244,9426,872,22,2095,9101,4747
5/22/2018,19.88227244,9676,1453,293,2107,9080,4551
5/23/2018,19.88227244,9927,2034,564,2119,9066,4238
5/24/2018,19.88227244,10130,2274,552,2124,9047,4160
5/25/2018,19.88227244,10146,2368,539,2129,9028,3251
5/26/2018,19.88227244,10161,2461,537,2139,9028,2700
5/27/2018,19.88227244,10142,2524,534,2148,9021,1930
5/28/2018,19.88227244,10123,2586,784,2159,9014,1633
5/29/2018,19.88227244,10031,2586,1242,2173,9001,1626
5/30/2018,19.88227244,9939,2586,1192,2185,8997,1626
5/31/2018,19.88327816,9846,2587,1142,2197,8992,1625
6/1/2018,19.7342297,9752,2587,1151,2208,9008,1625
6/2/2018,19.7342297,9641,2587,1148,2227,9071,1624
6/3/2018,19.77500586,9522,3480,1145,2245,9075,1624
6/4/2018,19.77500586,9402,4373,1144,2253,9069,1625
6/5/2018,19.77500586,9437,5856,1143,2261,9071,1625
6/6/2018,19.77500586,9473,7340,1135,2272,9070,1600
6/7/2018,19.77500586,9508,8823,1127,2282,9072,1601
6/8/2018,19.77500586,9498,8820,1126,2294,9070,1909
6/9/2018,19.77500586,9472,8821,1125,2305,9074,1910
6/10/2018,19.77500586,9446,8822,1125,2314,9073,1909
6/11/2018,19.77500586,9393,8822,1125,2323,9076,1911
6/12/2018,19.77500586,9339,8821,1125,2332,9065,1910
6/13/2018,19.77500586,8836,8821,1124,2340,9061,1595
6/14/2018,19.77500586,8332,8820,1122,2360,9053,1590
6/15/2018,19.77500586,8393,8820,1119,2379,9049,1591
6/16/2018,19.77500586,8191,8818,1120,2395,9048,1593
6/17/2018,19.77500586,8021,8818,1121,2411,9047,1593
6/18/2018,19.77500586,7697,8817,1120,2420,9039,1594
6/19/2018,19.77500586,7627,8816,1119,2429,9030,1595
6/20/2018,19.77500586,7556,8814,1119,2441,9024,1595
6/21/2018,19.77500586,7659,8814,1118,2453,9021,1594
6/22/2018,19.77500586,7762,8814,1092,2461,9021,1595
6/23/2018,19.77500586,7933,8814,1066,2469,9019,1595
6/24/2018,19.77500586,8005,8812,1066,2475,9017,1596
6/25/2018,19.77500586,8076,8810,1066,2480,9016,1597
6/26/2018,19.77500586,8283,8810,898,2491,9014,1597
6/27/2018,19.77500586,8490,8810,729,2501,9012,1593
6/28/2018,19.77500586,8605,8810,562,2513,9013,1594
6/29/2018,20.59497722,8720,8810,395,2525,9005,1594
6/30/2018,25.09424158,8835,8810,303,2531,9002,1595
7/1/2018,18.64137478,9065,8820,211,2537,9022,1596
7/2/2018,18.64136869,9065,8809,212,2549,9032,1595
7/3/2018,18.64136869,9178,8807,212,2560,9038,1595
7/4/2018,18.64136869,9291,8804,177,2568,9032,1595
7/5/2018,18.64136869,9248,8807,142,2575,9035,1594
7/6/2018,18.64136869,9110,8808,141,2584,9024,1594
7/7/2018,18.64136869,8986,8815,140,2592,9021,1595
7/8/2018,18.64136869,8910,8807,140,2599,9027,1593
7/9/2018,18.64136869,8834,8799,140,2605,9024,1593
7/10/2018,18.64136869,8788,8806,140,2626,9027,1593
7/11/2018,18.64136869,8741,8813,139,2646,9029,1594
7/12/2018,18.64136869,8514,8807,139,2662,9030,1595
7/13/2018,18.69430683,8288,8802,139,2677,9031,1596
7/14/2018,18.64136869,8061,8796,138,2691,9032,1597
7/15/2018,18.64136869,21087,8794,138,2704,9033,1597
7/16/2018,18.74724498,34114,8792,137,2718,9037,1596
7/17/2018,18.64136869,47140,8790,136,2731,9029,1596
7/18/2018,18.69430683,60167,8788,134,2741,9034,1595
7/19/2018,18.69430683,73193,8786,131,2751,9027,1595
7/20/2018,18.64136869,6219,8785,131,2762,9019,1597
7/21/2018,19.12839961,5957,8785,130,2773,9017,1596
7/22/2018,18.69430683,5696,8784,130,2779,9016,1597
7/23/2018,18.74724498,5434,8784,130,2785,9026,1598
7/24/2018,18.69430683,5214,8785,130,2792,9025,1599
7/25/2018,18.64136869,4994,8785,130,2798,9016,1599
7/26/2018,18.64136869,4934,8784,130,2809,9017,1599
7/27/2018,19.12839961,4875,8784,130,2819,9011,1599
7/28/2018,18.64136869,4815,8783,130,2837,9013,1599
7/29/2018,19.12839961,4570,8784,130,2854,9012,1598
7/30/2018,18.80989955,4328,8784,131,2879,9011,1597
7/31/2018,18.76081383,4066,8782,131,2904,9014,1597
8/1/2018,18.85262321,4018,8782,131,2912,9015,1597
8/2/2018,18.90556136,4018,8782,129,2925,9009,1597
8/3/2018,18.92389537,4013,8781,126,2938,9013,1597
8/4/2018,18.85262321,4013,8782,126,2949,9016,1597
8/5/2018,18.97460326,4013,8781,126,2959,9014,1597
8/6/2018,18.96401563,4013,8780,126,2967,9012,1598
8/7/2018,18.96401563,4006,8779,126,2974,9010,1598
8/8/2018,18.97460326,4252,8777,126,2980,9009,1598
8/9/2018,18.97460326,4285,8777,126,2985,9009,1600
8/10/2018,19.88555696,4285,8777,126,2995,9017,1601
8/11/2018,18.92166511,4285,8777,126,3005,9024,1601
8/12/2018,19.34517026,4367,8778,126,3015,9046,1601
8/13/2018,18.97460326,4367,8778,126,3024,9043,1602
8/14/2018,18.96401563,4505,8778,126,3028,9043,1604
8/15/2018,18.92166511,4642,8778,126,3031,9048,1600
8/16/2018,18.92166511,4780,8778,126,3041,9046,1553
8/17/2018,18.92166511,4917,8777,126,3051,9043,1553
8/18/2018,18.92166511,5055,8777,126,3066,9040,1553
8/19/2018,18.92166511,5192,8777,126,3080,9037,1553
8/20/2018,18.92166511,5330,8777,126,3090,9036,1553
8/21/2018,18.97460326,5362,8777,126,3100,9038,1553
8/22/2018,18.92166511,5394,8777,126,3109,9041,1553
8/23/2018,18.92166511,5427,8776,126,3118,9043,1552
8/24/2018,18.92166511,5459,8776,126,3129,9045,1552
8/25/2018,18.95782525,5491,8776,125,3139,9048,1552
8/26/2018,18.92166511,5440,8776,126,3149,9050,1552
8/27/2018,18.96401563,5388,8776,126,3159,9050,1552
8/28/2018,18.92166511,5337,8775,126,3163,9054,1552
8/29/2018,18.92166511,5285,8775,126,3167,9056,1552
