dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_likes
1/1/2018,194.572,1510151,8759,17500,17424694,0
1/2/2018,212.436,1510151,8889,17500,17424694,0
1/3/2018,227.068,1510151,8992,17500,17424694,0
1/4/2018,228.34,1510151,9083,17500,17424694,0
1/5/2018,240.82,1510151,9175,17500,17424694,0
1/6/2018,233.076,1510151,9268,17500,17424694,0
1/7/2018,221.376,1510151,9379,17500,17424694,0
1/8/2018,265.02,1510151,9475,17500,17424694,0
1/9/2018,283.28,1510151,9593,17500,17424694,0
1/10/2018,295.376,1510151,9727,17500,17424694,0
1/11/2018,307.692,1510151,9862,17500,17424694,0
1/12/2018,409.268,1510151,10075,17500,17424694,0
1/13/2018,368.252,1510151,10233,17500,17424694,0
1/14/2018,346.176,1510151,10380,17500,17424694,0
1/15/2018,373.752,1510151,10547,17500,17424694,0
1/16/2018,409.188,1510151,10709,17500,17424694,0
1/17/2018,417.392,1510151,10891,17500,17424694,0
1/18/2018,451.268,1510151,11081,17500,17424694,0
1/19/2018,470.48,1510151,11289,17500,17424694,0
1/20/2018,396.072,1510151,11446,17500,17424694,0
1/21/2018,379.872,1510151,11590,17500,17424694,0
1/22/2018,433.592,1510151,11756,17500,17424694,0
1/23/2018,433.4,1510151,11924,17500,17424694,0
1/24/2018,455.704,1510151,12094,17500,17424694,0
1/25/2018,454.276,1510151,12275,17500,17424694,0
1/26/2018,467.976,1510151,12469,17500,17424694,0
1/27/2018,418.64,1510151,12663,17500,17424694,0
1/28/2018,403.876,1510151,12860,17500,17424694,0
1/29/2018,475.224,1510151,13050,17500,17424694,0
1/30/2018,494.172,1510151,13244,17500,17424694,0
1/31/2018,519.24,1510151,13441,17500,17424694,0
2/1/2018,539.74,1510151,13675,17500,17424694,0
2/2/2018,573.004,1510151,13907,17500,17424694,0
2/3/2018,509.124,1510151,14129,17500,17424694,0
2/4/2018,467.872,1510151,14334,17500,17424694,0
2/5/2018,511.432,1510151,14540,17500,17424694,0
2/6/2018,553.36,1510151,14760,17500,17424694,0
