dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_followers,twitter_followers
1/1/2021,67.16296125,10391,5003,73,9898,38416,1474
1/2/2021,67.14687822,10391,5003,73,9904,38411,1474
1/3/2021,67.15035381,10391,5003,73,9912,38436,1475
1/4/2021,67.14866951,11122,5012,73,9919,38459,1475
1/5/2021,67.14902177,11122,5012,73,9929,38471,1475
1/6/2021,67.149458,11122,5012,74,9935,38476,1475
1/7/2021,67.15107293,11122,5012,74,9935,38474,1475
1/8/2021,67.15048055,11122,5012,74,9960,38468,1475
1/9/2021,67.15171442,10549,5016,74,9969,38467,1476
1/10/2021,67.15096449,10549,5016,74,9986,38479,1477
1/11/2021,67.15067331,10549,5016,74,9999,38492,1476
1/12/2021,67.07393454,10118,5018,74,10002,38510,1477
1/13/2021,67.07099294,10050,5017,74,10007,38527,1478
1/14/2021,67.07083682,10050,5017,74,10020,38538,1479
1/15/2021,67.07041653,9881,5021,74,10025,38548,1479
1/16/2021,67.07493203,9807,5021,79,10031,38555,1479
1/17/2021,67.06946769,9807,5021,79,10031,38563,1479
1/18/2021,67.0721209,9807,5021,79,10106,38565,1460
1/19/2021,67.0707979,9807,5021,79,10116,38564,1479
1/20/2021,67.06963604,9807,5021,79,10122,38569,1480
1/21/2021,67.06960504,8894,5030,79,10127,38562,1480
1/22/2021,67.03831154,8585,5029,79,10127,38566,1481
1/23/2021,67.0367341,8585,5029,79,10144,38565,1481
1/24/2021,67.03615181,8585,5029,79,10156,38588,1481
1/25/2021,67.03471037,8585,5029,79,10164,38608,1482
1/26/2021,67.03595967,8585,5029,79,10173,38625,1481
1/27/2021,67.03093418,6942,5046,79,10180,38621,1480
1/28/2021,67.03095058,6558,5049,79,10182,38646,1482
1/29/2021,67.02714307,6205,5051,79,10190,38653,1481
1/30/2021,67.02564567,5856,5051,79,10196,38663,1481
1/31/2021,70.0218556,5507,5055,79,10206,38663,1482
2/1/2021,65.53228333,5507,5055,79,10213,38667,1484
2/2/2021,65.51741375,5507,5055,79,10213,38680,1483
2/3/2021,65.52263675,4486,5062,79,10223,38686,1483
2/4/2021,65.52375647,4296,5065,79,10234,38682,1484
2/5/2021,65.52453597,4102,5068,79,10236,38672,1484
2/6/2021,65.52893218,3863,5071,79,10247,38667,1484
2/7/2021,65.53170258,3694,5072,79,10258,38673,1484
2/8/2021,65.53411784,3545,5074,79,10271,38679,1484
2/9/2021,65.53082215,3372,5076,79,10277,38685,1485
2/10/2021,65.5320092,3183,5076,79,10283,38692,1484
2/11/2021,65.53307127,3013,5077,79,10283,38695,1484
2/12/2021,65.53372012,2799,5078,79,10297,38704,1484
2/13/2021,65.5354225,2593,5079,79,10304,38705,1483
2/14/2021,65.54017631,2441,5084,79,10311,38715,1483
2/15/2021,65.54067877,2345,5086,79,10319,38724,1483
2/16/2021,65.5386621,2275,5085,79,10325,38734,1482
2/17/2021,65.53611364,2208,5088,79,10334,38753,1481
2/18/2021,65.53951407,2142,5092,79,10340,38750,1482
2/19/2021,65.53092721,2075,5095,79,10350,38747,1481
2/20/2021,65.53196698,1988,5097,79,10359,38744,1480
2/21/2021,65.52860986,1935,5099,79,10367,38741,1480
2/22/2021,65.52860555,1870,5104,79,10373,38738,1481
2/23/2021,65.5282314,1871,5108,79,10380,38735,1482
2/24/2021,65.52332691,1864,5111,79,10386,38735,1481
2/25/2021,65.52296121,1848,5115,79,10398,38740,1482
2/26/2021,65.52133159,1852,5116,78,10406,38745,1483
2/27/2021,65.51625969,1839,5120,78,10412,38750,1483
2/28/2021,65.51076736,1823,5120,79,10415,38749,1483
3/1/2021,63.32795642,1812,5122,80,10421,38747,1483
3/2/2021,63.29806308,1817,5123,80,10434,38746,1483
3/3/2021,63.30076559,1819,5126,80,10452,38744,1483
3/4/2021,63.3053323,1805,5134,80,10452,38748,1484
3/5/2021,63.30410637,1814,5134,80,10473,38751,1485
3/6/2021,63.30318537,1807,5136,80,10479,38755,1486
3/7/2021,63.30406272,1800,5136,80,10487,38758,1465
3/8/2021,63.30409472,1792,5136,80,10491,38766,1484
3/9/2021,63.37512252,1785,5138,80,10500,38773,1484
3/10/2021,63.37649523,1783,5140,80,10504,38781,1484
3/11/2021,63.3747939,1779,5140,80,10511,38780,1484
3/12/2021,63.37300998,1769,5144,80,10517,38779,1484
3/13/2021,63.38047635,1765,5146,80,10529,38777,1483
3/14/2021,63.38467405,1744,5149,80,10541,38776,1484
3/15/2021,63.386697,1728,5154,80,10548,38776,1484
3/16/2021,63.38952785,1704,5156,80,10553,38775,1484
3/17/2021,63.38785261,1689,5157,80,10556,38775,1484
3/18/2021,63.38791215,1713,5160,80,10564,38775,1483
3/19/2021,63.38739295,1738,5162,80,10571,38774,1484
3/20/2021,63.39062644,1754,5163,80,10574,38774,1484
3/21/2021,63.3925827,1785,5164,80,10578,38774,1485
3/22/2021,63.38892105,1795,5166,80,10578,38773,1485
3/23/2021,63.38322348,1813,5169,80,10591,38773,1485
3/24/2021,63.38562719,1906,5169,79,10600,39053,1485
3/25/2021,63.38268702,2003,5172,79,10600,39333,1485
3/26/2021,64.64453814,2034,5173,79,10610,39612,1485
3/27/2021,64.6566758,2044,5175,79,10621,39892,1484
3/28/2021,64.65492755,2061,5176,79,10631,40001,1485
3/29/2021,64.64328808,2065,5180,79,10633,40111,1486
3/30/2021,64.64364798,2042,5183,79,10637,40220,1485
3/31/2021,64.67281661,2038,5187,79,10642,40303,1486
4/1/2021,63.60714471,2031,5191,80,10642,40386,1486
4/2/2021,63.43080773,2018,5193,80,10659,40468,1487
4/3/2021,63.43097772,2011,5195,80,10669,40551,1487
4/4/2021,63.43102934,2003,5196,80,10677,40574,1487
4/5/2021,63.43095983,1995,5197,80,10684,40596,1487
4/6/2021,63.43100923,1987,5198,80,10685,40619,1488
4/7/2021,63.43080966,1981,5204,80,10690,40626,1488
4/8/2021,63.43083868,1988,5203,80,10690,40632,1488
4/9/2021,63.43066888,1986,5207,80,10695,40639,1487
4/10/2021,63.36210555,1993,5215,80,10698,40658,1487
4/11/2021,63.3622844,1999,5217,80,10701,40652,1487
4/12/2021,63.3621827,2004,5221,80,10712,40650,1486
4/13/2021,63.36220093,2016,5225,80,10716,40650,1485
4/14/2021,63.36219607,2024,5229,80,10722,40650,1486
4/15/2021,63.36224875,1985,5232,80,10724,40645,1486
4/16/2021,63.36221661,1951,5235,80,10728,40640,1486
4/17/2021,63.36219684,1929,5239,80,10728,40645,1486
