dates,royalties,spotify_m_listeners,spotify_followers,youtube_subscribers,youtube_views,instagram_followers,twitter_followers
1/1/2018,0.148,0,188,0,0,0,1370
1/2/2018,0.208,0,188,0,0,0,1369
1/3/2018,0.192,0,188,0,0,0,1369
1/4/2018,0.208,0,188,0,0,0,1369
1/5/2018,0.252,0,188,0,0,0,1368
1/6/2018,0.212,0,188,0,0,0,1368
1/7/2018,0.192,0,189,0,0,0,1367
1/8/2018,0.212,0,191,0,0,0,1367
1/9/2018,0.204,0,192,0,0,0,1368
1/10/2018,0.204,0,194,0,0,0,1368
1/11/2018,0.216,0,195,0,0,0,1367
1/12/2018,0.244,0,197,0,0,0,1367
1/13/2018,0.188,0,198,0,0,0,1367
1/14/2018,0.172,0,199,0,0,0,1367
1/15/2018,0.176,0,199,0,0,0,1367
1/16/2018,0.232,0,200,0,0,0,1367
1/17/2018,0.192,0,201,0,0,0,1367
1/18/2018,0.248,0,202,0,0,0,1368
1/19/2018,0.288,0,202,0,0,0,1368
1/20/2018,0.172,0,203,0,0,0,1368
1/21/2018,0.22,0,203,0,0,0,1368
1/22/2018,0.184,0,204,0,0,0,1368
1/23/2018,0.124,0,204,0,0,0,1367
1/24/2018,0.236,0,204,0,0,0,1368
1/25/2018,0.156,0,204,0,0,0,1370
1/26/2018,0.168,0,205,0,0,0,1371
1/27/2018,0.16,0,205,0,0,0,1371
1/28/2018,0.176,0,207,0,0,0,1371
1/29/2018,0.276,0,209,0,0,0,1369
1/30/2018,0.18,0,211,0,0,0,1369
1/31/2018,0.3,0,213,0,0,0,1370
2/1/2018,0.152,0,215,0,0,0,1369
2/2/2018,0.176,0,217,0,0,0,1369
2/3/2018,0.152,0,219,0,0,0,1368
2/4/2018,0.108,0,219,0,0,0,1367
2/5/2018,0.136,0,220,0,0,0,1368
2/6/2018,0.18,0,220,0,0,0,1368
2/7/2018,0.196,0,220,0,0,0,1368
2/8/2018,0.132,0,220,0,0,0,1366
2/9/2018,0.156,0,221,0,0,0,1365
2/10/2018,0.124,0,221,0,0,0,1365
2/11/2018,0.104,0,221,0,0,0,1364
2/12/2018,0.156,0,221,0,0,0,1366
2/13/2018,0.148,0,221,0,0,0,1367
2/14/2018,0.14,0,221,0,0,0,1367
2/15/2018,0.2,0,221,0,0,0,1367
2/16/2018,0.192,0,221,0,0,0,1368
2/17/2018,0.192,0,221,0,0,0,1368
2/18/2018,0.188,0,221,0,0,0,1368
2/19/2018,0.14,0,221,0,0,0,1368
2/20/2018,0.188,0,221,0,0,0,1368
2/21/2018,0.2,0,221,0,0,0,1370
2/22/2018,0.136,0,221,0,0,0,1370
2/23/2018,0.192,0,221,0,0,0,1370
2/24/2018,0.16,0,221,0,0,0,1370
2/25/2018,0.16,0,222,0,0,0,1370
